season,week,game_type,home_team,away_team,home_score,away_score,home_rest,away_rest,result
2006,1,REG,PIT,MIA,28,17,7,7,11
2006,1,REG,CAR,ATL,6,20,7,7,-14
2006,1,REG,CLE,NO,14,19,7,7,-5
2006,1,REG,DET,SEA,6,9,7,7,-3
2006,1,REG,HOU,PHI,10,24,7,7,-14
2006,1,REG,KC,CIN,10,23,7,7,-13
2006,1,REG,NE,BUF,19,17,7,7,2
2006,1,REG,STL,DEN,18,10,7,7,8
2006,1,REG,TB,BAL,0,27,7,7,-27
2006,1,REG,TEN,NYJ,16,23,7,7,-7
2006,1,REG,ARI,SF,34,27,7,7,7
2006,1,REG,GB,CHI,0,26,7,7,-26
2006,1,REG,JAX,DAL,24,17,7,7,7
2006,1,REG,NYG,IND,21,26,7,7,-5
2006,1,REG,WAS,MIN,16,19,7,7,-3
2006,1,REG,OAK,SD,0,27,7,7,-27
2006,2,REG,ATL,TB,14,3,7,7,11
2006,2,REG,BAL,OAK,28,6,7,6,22
2006,2,REG,CHI,DET,34,7,7,7,27
2006,2,REG,CIN,CLE,34,17,7,7,17
2006,2,REG,GB,NO,27,34,7,7,-7
2006,2,REG,IND,HOU,43,24,7,7,19
2006,2,REG,MIA,BUF,6,16,10,7,-10
2006,2,REG,MIN,CAR,16,13,6,7,3
2006,2,REG,PHI,NYG,24,30,7,7,-6
2006,2,REG,SEA,ARI,21,10,7,7,11
2006,2,REG,SF,STL,20,13,7,7,7
2006,2,REG,DEN,KC,9,6,7,7,3
2006,2,REG,NYJ,NE,17,24,7,7,-7
2006,2,REG,SD,TEN,40,7,6,7,33
2006,2,REG,DAL,WAS,27,10,7,6,17
2006,2,REG,JAX,PIT,9,0,8,11,9
2006,3,REG,BUF,NYJ,20,28,7,7,-8
2006,3,REG,DET,GB,24,31,7,7,-7
2006,3,REG,HOU,WAS,15,31,7,7,-16
2006,3,REG,IND,JAX,21,14,7,6,7
2006,3,REG,MIA,TEN,13,10,7,7,3
2006,3,REG,MIN,CHI,16,19,7,7,-3
2006,3,REG,PIT,CIN,20,28,6,7,-8
2006,3,REG,TB,CAR,24,26,7,7,-2
2006,3,REG,CLE,BAL,14,15,7,7,-1
2006,3,REG,ARI,STL,14,16,7,7,-2
2006,3,REG,SEA,NYG,42,30,7,7,12
2006,3,REG,SF,PHI,24,38,7,7,-14
2006,3,REG,NE,DEN,7,17,7,7,-10
2006,3,REG,NO,ATL,23,3,8,8,20
2006,4,REG,ATL,ARI,32,10,6,7,22
2006,4,REG,BAL,SD,16,13,7,14,3
2006,4,REG,BUF,MIN,17,12,7,7,5
2006,4,REG,CAR,NO,21,18,7,6,3
2006,4,REG,HOU,MIA,17,15,7,7,2
2006,4,REG,KC,SF,41,0,14,7,41
2006,4,REG,NYJ,IND,28,31,7,7,-3
2006,4,REG,TEN,DAL,14,45,7,14,-31
2006,4,REG,STL,DET,41,34,7,7,7
2006,4,REG,CIN,NE,13,38,7,7,-25
2006,4,REG,OAK,CLE,21,24,14,7,-3
2006,4,REG,WAS,JAX,36,30,7,7,6
2006,4,REG,CHI,SEA,37,6,7,7,31
2006,4,REG,PHI,GB,31,9,8,8,22
2006,5,REG,CAR,CLE,20,12,7,7,8
2006,5,REG,CHI,BUF,40,7,7,7,33
2006,5,REG,GB,STL,20,23,6,7,-3
2006,5,REG,IND,TEN,14,13,7,7,1
2006,5,REG,MIN,DET,26,17,7,7,9
2006,5,REG,NE,MIA,20,10,7,7,10
2006,5,REG,NO,TB,24,21,7,14,3
2006,5,REG,NYG,WAS,19,3,14,7,16
2006,5,REG,ARI,KC,20,23,7,7,-3
2006,5,REG,JAX,NYJ,41,0,7,7,41
2006,5,REG,SF,OAK,34,20,7,7,14
2006,5,REG,PHI,DAL,38,24,6,7,14
2006,5,REG,SD,PIT,23,13,7,14,10
2006,5,REG,DEN,BAL,13,3,15,8,10
2006,6,REG,ATL,NYG,14,27,14,7,-13
2006,6,REG,BAL,CAR,21,23,6,7,-2
2006,6,REG,DAL,HOU,34,6,7,14,28
2006,6,REG,DET,BUF,20,17,7,7,3
2006,6,REG,NO,PHI,27,24,7,7,3
2006,6,REG,STL,SEA,28,30,7,14,-2
2006,6,REG,TB,CIN,14,13,7,14,1
2006,6,REG,WAS,TEN,22,25,7,7,-3
2006,6,REG,NYJ,MIA,20,17,7,7,3
2006,6,REG,PIT,KC,45,7,7,7,38
2006,6,REG,SF,SD,19,48,7,7,-29
2006,6,REG,DEN,OAK,13,3,6,7,10
2006,6,REG,ARI,CHI,23,24,8,8,-1
2006,7,REG,ATL,PIT,41,38,7,7,3
2006,7,REG,BUF,NE,6,28,7,14,-22
2006,7,REG,CIN,CAR,17,14,7,7,3
2006,7,REG,HOU,JAX,27,7,7,14,20
2006,7,REG,KC,SD,30,27,7,7,3
2006,7,REG,MIA,GB,24,34,7,14,-10
2006,7,REG,NYJ,DET,31,24,7,7,7
2006,7,REG,TB,PHI,23,21,7,7,2
2006,7,REG,CLE,DEN,7,17,14,7,-10
2006,7,REG,IND,WAS,36,22,14,7,14
2006,7,REG,OAK,ARI,22,9,7,6,13
2006,7,REG,SEA,MIN,13,31,7,14,-18
2006,7,REG,DAL,NYG,22,36,8,8,-14
2006,8,REG,CHI,SF,41,10,13,14,31
2006,8,REG,CIN,ATL,27,29,7,7,-2
2006,8,REG,GB,ARI,31,14,7,7,17
2006,8,REG,KC,SEA,35,28,7,7,7
2006,8,REG,NO,BAL,22,35,14,14,-13
2006,8,REG,NYG,TB,17,3,6,7,14
2006,8,REG,PHI,JAX,6,13,7,7,-7
2006,8,REG,TEN,HOU,28,22,14,7,6
2006,8,REG,SD,STL,38,24,7,14,14
2006,8,REG,CLE,NYJ,20,13,7,7,7
2006,8,REG,DEN,IND,31,34,7,7,-3
2006,8,REG,OAK,PIT,20,13,7,7,7
2006,8,REG,CAR,DAL,14,35,7,6,-21
